630	_C	dz	z
630	_C	ṯʆ	ɕ
630	_C	ḏʓ	ʑ
644	_C	ṯʆ	ʆ
647	_#	ṭṣ	ṣ
650	V_#	ḏʑ	j
671	V_V	m	β
672	V_V	m	β̃
673	V_V	m	β
675	V_#	m	v
676	V_V	ŋ	ɣ̃
677	V_V	ŋ	ɣ
678	V_V	ŋ	ɣ
679	V_V	ŋ	ɣ
680	V_V	ŋ	ɣ
685	#_	ɺ ̝	ẓ
686	_	ɹʲ̝	ʓ
687	_	ɹ ̝̊	ṣ
687	_	ɹ ̝	ẓ
688	_V	d	l 
689	V_V	ḍ	ɺ ̣ 
689	V_V	ḍ̈ʱ	ɺʱ̣ 
690	_	ḍ	ḷ
691	_	d	l
692	_	d	l
693	_	ḍ	ḷ 
694	_	ḍ	ḷ
695	V_V	ḍ	ɾ ̣ 
695	V_V	ḍ̈ʱ	ɾʱ̣ 
696	V_V	ḍ	ɾ̣ 
696	V_V	ḍ̈ʱ	ɾ̣ʱ 
697	V_V	ḍ	ɾ̣ 
697	V_V	ḍ̈ʱ	ɾ̣ʱ 
698	V_V	ḍ	ɾ̣ 
698	V_V	ḍ̈ʱ	ɾ̣ʱ
699	_	ḍ	ɾ̣
700	V_V	ḍ	ɺ ̣
701	V_V	ḍ	ɾ̣
702	_	ḍ	ɾ̣
703	V_V	d	ɾ
704	V_V	d	r
705	V_V	d	ɾ
706	V_V	d	r
707	V_	d	r
708	V_V	d	r
709	V_V	d	r
710	#_	d	l
710	#_	ḍ	 l
711	#_	ḍ	ɾ̣
712	_	ð	l
712	_	ðʱ	lʱ
713	_	ð	l
714	_	ð	l
715	_	ð	l
716	_V	ð	l
717	_	ð	l 
718	_	ð	l
719	_	ð	l
720	_	ð	l
724	V_V	ð	l
725	V_V	ẓ	 ɺ 
726	_	ɻ ̝	ɺ 
727	_	ɻ ̝	ɺ ̣
728	V_V	ɻ ̝	l
729	V_V	ẓ	ɺ ̣
730	_	ð	l
730	_	ðʲ	ʎ
731	_	ð	l
732	_	ð	l
732	_	ðʲ	ʎ
733	_	ð	l
734	_	ɮˤ	lˤ
735	_	ð	r
736	V_V	ð	r
737	V_	ð	r
739	V_V	ð	ɾ
740	V_V	ð	r
742	V_V	ð	r
743	V_	ð	r
744	V_V	ð	r
745	V_V	ð	r
